# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment,field2,part (m/s),datatypes/templates,divider/values,unit,comment,field3,part (m/s),datatypes/templates,divider/values,unit,comment,field4,part (m/s),datatypes/templates,divider/values,unit,comment

r,,SubcoolingActualTemp,,,,,5A03FFFF,,,temps2,10,K,Unterkuehlung Isttemperatur (K),,,,,,,,,,,,,,,,,,
r,,CompressorSpeedSensor,,,,,5D03FFFF,,,UIN,10,,Kompressordrehzahl (Umdrehungen pro Sekunde),,,,,,,,,,,,,,,,,,
r,,MultifunctionConnectorOutput1Status,,,,,7703FFFF,,,onoff,,,Multifunktionsausgang 1: Zone valve; cooling signal; intermediate heat exchanger pump,,,,,,,,,,,,,,,,,,
r,,TemperatureSwitchCompressorOutletStatus,,,,,7B03FFFF,,,UCH,0=offen;1=geschlossen,,,,,,,,,,,,,,,,,,,,
r,,TemperatureSwitchElectricHeaterStatus,,,,,7C03FFFF,,,UCH,0=offen;1=geschlossen,,,,,,,,,,,,,,,,,,,,
r,,MultifunctionConnectorInput1Status,,,,,7D03FFFF,,,onoff,,,Multifunktionseingang 1 (ME or X41 terminals): Manual circulation switch-on; PV DHW Boost; Cooling Mode,,,,,,,,,,,,,,,,,,
r,,MultifunctionConnectorOutput2Status,,,,,7E03FFFF,,,onoff,,,Multifunktionsausgang 2: Circulation pump; anti-legionella pump; zone valve; dehumidifying unit,,,,,,,,,,,,,,,,,,
r,,MultifunctionConnectorOutput0Status,,,,,7F03FFFF,,,onoff,,,Multifunktionsausgang 0,,,,,,,,,,,,,,,,,,
r,,CondensorInletTemp,,,,,8103FFFF,,,temps2,10,°C,Verflüssiger-Eintrittstemperatur (°C),,,,,,,,,,,,,,,,,,
r,,SupplyTempElectricHeater,,,,,8203FFFF,,,temps2,10,°C,Vorlauftemperatur Elektroheizung (°C),,,,,,,,,,,,,,,,,,

# Gesamte Wärmeerträge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*r,,,,,,B516,18,,,IGN:1,,,,,,,,,,,,,,,,,,,,,
r,,YieldTotal,,,,,01,,,energy,,kWh,,,,,,,,,,,,,,,,,,,

# Elektrischer Gesamtstromverbrauch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,EnergyConsumptionTotal,,,,,02,,,energy,,kWh,,,,,,,,,,,,,,,,,,,

# Umwelt Energieerträge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*r,,,,,,B516,1A,,,IGN:1,,,,,,,,,,,,,,,,,,,,,
r,,YieldThisYear1,,,,,010100,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,YieldThisYear2,,,,,010200,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,YieldThisYear3,,,,,010300,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,YieldThisYear4,,,,,010400,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,YieldThisYear5,,,,,010500,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,YieldThisYear6,,,,,010600,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,YieldThisYear7,,,,,010700,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,YieldThisYear8,,,,,010800,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,YieldThisYear9,,,,,010900,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,YieldThisYear10,,,,,010A00,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,YieldThisYear11,,,,,010B00,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,YieldThisYear12,,,,,010C00,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,

# Elektrischer Stromverbrauch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,EnergyConsumptionThisYear1,,,,,020100,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,EnergyConsumptionThisYear2,,,,,020200,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,EnergyConsumptionThisYear3,,,,,020300,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,EnergyConsumptionThisYear4,,,,,020400,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,EnergyConsumptionThisYear5,,,,,020500,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,EnergyConsumptionThisYear6,,,,,020600,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,EnergyConsumptionThisYear7,,,,,020700,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,EnergyConsumptionThisYear8,,,,,020800,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,EnergyConsumptionThisYear9,,,,,020900,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,EnergyConsumptionThisYear10,,,,,020A00,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,EnergyConsumptionThisYear11,,,,,020B00,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,EnergyConsumptionThisYear12,,,,,020C00,month,,D1B,,kWh,,,,IGN:1,,,,,,energy,,,,,,,,,

*r,,,,,,B51A,05,,,IGN:3,,,,,,,,,,,,,,,,,,,,,
*w,,,,,,B51A,06,,,,,,,,,,,,,,,,,,,,,,,,
r,,YieldHeatingDay,,,,,FF3200,,,energy,10,kWh,,,,,,,,,,,,,,,,,,,
r,,YieldCoolingDay,,,,,FF3201,,,energy,10,kWh,,,,,,,,,,,,,,,,,,,
r,,YieldWarmWaterDay,,,,,FF3202,,,energy,10,kWh,,,,,,,,,,,,,,,,,,,
r;w,,TargetTempWarmWater,(with intergrated System thermostat),,,,C63207,,,D2C,,°C,Warmwasser-Zieltemperatur (°C),,,,,,,,,,,,,,,,,,
r,,YieldHeatingMonth,,,,,FF320E,,,energy,10,kWh,,,,,,,,,,,,,,,,,,,
r,,CopHeatingMonthSensor,,,,,FF320F,,,UIN,10, ,,,,,,,,,,,,,,,,,,,
r,,YieldHeating,,,,,FF3210,,,energy,,kWh,Gesamtertrag Heizkreislauf,,,,,,,,,,,,,,,,,,
r,,CopHeatingSensor,,,,,FF3211,,,UIN,10, ,GesamtArbeitszahl Heizkreislauf,,,,,,,,,,,,,,,,,,
r,,YieldWarmWaterMonth,,,,,FF3212,,,energy,10,kWh,,,,,,,,,,,,,,,,,,,
r,,CopWarmWaterMonthSensor,,,,,FF3213,,,UIN,10, ,,,,,,,,,,,,,,,,,,,
r,,YieldWarmWater,,,,,FF3216,,,energy,,kWh,Gesamtertrag Warmwasser,,,,,,,,,,,,,,,,,,
r,,CopWarmWaterSensor,,,,,FF3217,,,UIN,10, ,GesamtArbeitszahl Warmwasser,,,,,,,,,,,,,,,,,,
r,,ch_18,,,,,FF3218,,,UIN,,,,,,,,,,,,,,,,,,,,,
r;w,,TargetTempHeating,(with intergrated System thermostat),,,,FF321C,,,D2C,,°C,Zieltemperatur Heizung (°C),,,,,,,,,,,,,,,,,,
r,,CompressorBlocktimeStatus,,,,,FF321E,,,UIN,,min,,,,,,,,,,,,,,,,,,,
r,,SupplyTempWeighted,,,,,FF321F,,,D2C,10,°C,,,,,,,,,,,,,,,,,,,
r,,FlowTemp,,,,,FF3220,,,D2C,,°C,,,,,,,,,,,,,,,,,,,
r,,EnergyIntegral,,,,,FF3221,,,integral,,°min,aktuelles Energieintegral in °min,,,,,,,,,,,,,,,,,,
r,,SourceTempInput,,,,,FF3222,,,D2C,,°C,,,,,,,,,,,,,,,,,,,
r,,CurrentYieldPower,,,,,FF3223,,,D1B,10,kW,aktuell gewonnene Energie aus der Umwelt in kW,,,,,,,,,,,,,,,,,,
r,,CurrentConsumedPower,,,,,FF3224,,,D1B,10,kW,aktueller Stromverbrauch der Wärmepumpe in kW,,,,,,,,,,,,,,,,,,
r,,CompressorSensor,,,,,FF3225,,,percent3,10,,(Prozenz des Maximums),,,,,,,,,,,,,,,,,,
r,,AirIntakeTemp,,,,,FF3226,,,D2C,,°C,,,,,,,,,,,,,,,,,,,
r,,SourceTempOutput,,,,,FF3227,,,D2C,,°C,,,,,,,,,,,,,,,,,,,
r,,YieldCoolingMonth,,,,,FF322A,,,energy,10,kWh,,,,,,,,,,,,,,,,,,,
r,,CopCoolingMonthSensor,,,,,FF322B,,,energy,10, ,SEER,,,,,,,,,,,,,,,,,,
r,,YieldCooling,,,,,FF322C,,,energy,10,kWh,Gesamtertrag Kuehlung,,,,,,,,,,,,,,,,,,
r,,CopCoolingSensor,,,,,FF322D,,,energy,10, ,GesamtArbeitszahl Kuehlung,,,,,,,,,,,,,,,,,,
r,,WaterThroughputSensor,,,,,FF323C,,,UIN,,l/h,Aktuelle Heizwasser Durchflussrate der Wärmepumpe in Liter pro Stunde,,,,,,,,,,,,,,,,,,
r,,FlowPressureSensor,,,,,FF323D,,,D2C,4,bar,,,,,,,,,,,,,,,,,,,
r,,SourcePressureSensor,,,,,FF323E,,,D2C,4,bar,,,,,,,,,,,,,,,,,,,
r,,TotalRuntime,,,,,FF3240,,,UIN,,hours,,,,,,,,,,,,,,,,,,,
r,,RuntimeHeating,,,,,FF3241,,,UIN,,hours,,,,,,,,,,,,,,,,,,,
r,,RuntimeCooling,,,,,FF3243,,,UIN,,hours,,,,,,,,,,,,,,,,,,,
r,,RuntimeWarmWater,,,,,FF3244,,,UIN,,hours,,,,,,,,,,,,,,,,,,,
r,,TotalEnergyUsage,,,,,FF324D,,,energy,,kWh,,,,,,,,,,,,,,,,,,,

# FF33xx: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;w,,MainsBlocktimeMinDurationSensor,,,,,FF3319,,,UCH,,min,Mindestdauer der Sperrzeit (in Minuten),,,,,,,,,,,,,,,,,,
r;w,,ActiveCoolingEnabledStatus,,,,,FF331B,,,yesno,,,Aktive Kühltechnologie aktiviert,,,,,,,,,,,,,,,,,,
r,,ImmersionHeaterStatus,,,,,FF331E,,,UCH,0=off;1=on,,Tauchsieder-Modus (an/aus),,,,,,,,,,,,,,,,,,
r;w,,CompressorCurrentLimitSensor,,,,,FF331F,,,UCH,,A,Strombegrenzung des Kompressors (A),,,,,,,,,,,,,,,,,,

# FF34xx: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,,CompressorRuntime,,,,,FF3400,,,UIN,,hours,,,,,,,,,,,,,,,,,,,
r,,CompressorStarts,,,,,FF3401,,,UIN,,,,,,,,,,,,,,,,,,,,,
r,,BuildingPumpRuntime,,,,,FF3402,,,UIN,,hours,,,,,,,,,,,,,,,,,,,
r,,BuildingPumpStarts,,,,,FF3403,,,UIN,,,,,,,,,,,,,,,,,,,,,
r,,4PortValveHours,,,,,FF3406,,,UIN,,hours,,,,,,,,,,,,,,,,,,,
r,,4PortValveSwitchCount,,,,,FF3407,,,UIN,,,,,,,,,,,,,,,,,,,,,
r,,ElectronicExpansionValveStepsSensor,,,,,FF340D,,,UIN,,,,,,,,,,,,,,,,,,,,,
r;w,,EnergyIntegralStartHeating,,,,,FF341E,,,integral,,°min,Energy Integral value to start heating (°min),,,,,,,,,,,,,,,,,,
r;w,,BuildingCircuitMaxPressureDifferenceSensor,,,,,FF341F,,,UIN,,mBar,Maximale Druckdifferenz im Gebäudekreislauf (mBar),,,,,,,,,,,,,,,,,,
r;w,,EnergyIntegralStartCooling,,,,,FF3421,,,integral,,°min,Energy Integral value to start cooling (°min),,,,,,,,,,,,,,,,,,
r;w,,CompressorSilentOperationLevelSensor,,,,,FF3428,,,percent0,,,Kompressor geräuscharme Betriebsstufe,,,,,,,,,,,,,,,,,,
r;w,,MainsBlocktimeMaxDurationTimer,,,,,FF342D,,,UCH,,hrs,Maximale Dauer der Sperrung (in Stunden),,,,,,,,,,,,,,,,,,
r,,NoOfSwitchingOpsTimer,,,,,FF3430,,,UIN,,,,,,,,,,,,,,,,,,,,,
r,,CompressorHysteresisHeatingSensor,,,,,FF3443,,,D2C,,K,Verdichter-Hysterese Zentralheizung (K),,,,,,,,,,,,,,,,,,
r;w,,WarmWaterModusStatus,,,,,FF3444,,,UCH,0=eco;1=normal;2=balance,,Brauchwassermodus (eco/normal/balance),,,,,,,,,,,,,,,,,,
r,,Fan1Runtime,,,,,FF3451,,,UIN,,hours,,,,,,,,,,,,,,,,,,,
r,,Fan1Starts,,,,,FF3452,,,UIN,,,,,,,,,,,,,,,,,,,,,
r,,Fan2Runtime,,,,,FF345E,,,UIN,,hours,,,,,,,,,,,,,,,,,,,
r,,Fan2Starts,,,,,FF345F,,,UIN,,,,,,,,,,,,,,,,,,,,,

# FF35xx: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Heat pump configuration menu values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;w,,HeatCurve,(with intergrated System thermostat),,,,FF352D,,,BCD,10,,(8F)Heizkurve 0.1 to 4.0,,,,,,,,,,,,,,,,,,
r,,SummerSwitchOffTemp,(with intergrated System thermostat),,,,FF352E,,,D2C,,°C,(8F)Abschalttemperatur Sommer (°C),,,,,,,,,,,,,,,,,,
r,,HeatingBivalencePointTemp,(with intergrated System thermostat),,,,FF352F,,,D2C,,°C,(8F)Bivalenzpunkt Zentralheizung (°C),,,,,,,,,,,,,,,,,,
r,,WarmWaterBivalencePointTemp,(with intergrated System thermostat),,,,FF3530,,,D2C,,°C,(8F)Bivalenzpunkt Brauchwarmwasser (°C),,,,,,,,,,,,,,,,,,
r,,MaxFlowTemp,(with intergrated System thermostat),,,,FF3532,,,D2C,,°C,(8F)Maximale Vorlauftemperatur (°C),,,,,,,,,,,,,,,,,,
r,,MinFlowTemp,(with intergrated System thermostat),,,,FF3533,,,D2C,,°C,(8F)Minimale Vorlauftemperatur (°C),,,,,,,,,,,,,,,,,,
r;w,,HeatingModeActiveStatus,(with intergrated System thermostat),,,,FF3534,,,UCH,0=no;1=yes,,(8F)Zentralheizungsbetrieb aktiv (ja/nein),,,,,,,,,,,,,,,,,,
r;w,,WarmWaterModeActiveStatus,(with intergrated System thermostat),,,,FF3535,,,UCH,0=no;1=yes,,(8F)Warmwassermodus aktiv (ja/nein),,,,,,,,,,,,,,,,,,
r,,WarmWaterChargeHysteresisTemp,(with intergrated System thermostat),,,,FF3539,,,D2C,,K,(8F)Hysterese Warmwasserladung (K),,,,,,,,,,,,,,,,,,
r;w,,CompressorModulationTypeStatus,,,,,FF353D,,,UCH,0=hard;1=soft,,Kompressor Modulationsart (soft/hard),,,,,,,,,,,,,,,,,,
r,,CompressorHysteresisCoolingTemp,,,,,FF353F,,,D2C,,K,VerdichtersHysterese Kühlung (K),,,,,,,,,,,,,,,,,,

!include,hcmode.inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!include,errors.inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
