r;w,,HcPumpIdlePeriod,Pumpensperrzeit,,,,"4F00",,,minutes0,,,,,,
r;w,,OperatingMode,Betriebsart,,,,"2B00",,,mcmode,,,,,,
r;w,,FlowTempMax,Maximaltemperatur,,,,"3100",,,temp0,,,,,,
r;w,,TempDesired,Solltemperatur,,,,"3200",,,temp1,,,,,,
r;w,,HeatingCurve,Heizkurve,,,,"3500",,,curve,,,,,,
[SW<=400]r;w,,HcMaxPreHeating,Max. Voraufheizung,,,,"3800",,,hours,,,,,,
[SW>=401]r;wi,,HcMaxPreHeating,Max. Voraufheizung,,,,"3800",,,UCH,,min / 5,,,,
r,,FloorPavingDryingDay,Estrichtrocknungstag,,,,"3B00",,,UCH,,,,,,
r;w,,TeleswitchOperatingMode,TeleSWITCH,,,,"3F00",,,mcmode,,,,,,
# MK1: Betriebsart,,,,,,,,,,,,,,,,
*r,mc,,,,,"B504",,,,,,,,,,
r,,Mode,Betriebsart,,,,01,,,temp0;mcmode;IGN:2;HEX;IGN;onoff;IGN,,,,,,
r,,DateTime,Datum Uhrzeit,,,,00,,,dcfstate;btime;bdate;temp2,,,,,,
r,,Status,Status,,,,0D,,,temp0;onoff;temp;temp0,,,,,,
r,,Status16,Aussentemperatur,,,,16,,,temp,,,,,,
# MK1: Zeitprogramm,,,,,,,,,,,,,,,,
*r,mc,,,,,"B504",,,,,,,,,,
*w,mc,,,,,"B505","09",,,,,,,,,
r,,Timer.Monday,Zeitfenster Montag,,,,02,,,timer,,,,,,
r,,Timer.Tuesday,Zeitfenster Dienstag,,,,03,,,timer,,,,,,
r,,Timer.Wednesday,Zeitfenster Mittwoch,,,,04,,,timer,,,,,,
r,,Timer.Thursday,Zeitfenster Donnerstag,,,,05,,,timer,,,,,,
r,,Timer.Friday,Zeitfenster Freitag,,,,06,,,timer,,,,,,
r,,Timer.Saturday,Zeitfenster Samstag,,,,07,,,timer,,,,,,
r,,Timer.Sunday,Zeitfenster Sonntag,,,,08,,,timer,,,,,,
w,,Timer.Monday,Zeitfenster Montag,,,,01,,,timer,,,,,,
w,,Timer.Tuesday,Zeitfenster Dienstag,,,,02,,,timer,,,,,,
w,,Timer.Wednesday,Zeitfenster Mittwoch,,,,03,,,timer,,,,,,
w,,Timer.Thursday,Zeitfenster Donnerstag,,,,04,,,timer,,,,,,
w,,Timer.Friday,Zeitfenster Freitag,,,,05,,,timer,,,,,,
w,,Timer.Saturday,Zeitfenster Samstag,,,,06,,,timer,,,,,,
w,,Timer.Sunday,Zeitfenster Sonntag,,,,07,,,timer,,,,,,
# Fehlerliste,,,,,,,,,,,,,,,,
*r,mc,,,,,"B503","00",,,,,,,,,
r,,currenterror,Aktuelle Fehler,,,,01,,,errors,,,,,,
# Fehlerhistorie,,,,,,,,,,,,,,,,
*r,mc,,,,,"B503","01",,,,,,,,,
*wi,mc#install,,,,,"B503","02",,,,,,,,,
r,,errorhistory,Fehlerhistorie,,,,01,index,m,UCH,,,,,,errorhistory
wi,,clearerrorhistory,Fehlerhistorie: löschen,,,,01,cleared,s,yesno,,,,,,
# MK1: Raumaufschaltung,,,,,,,,,,,,,,,,
*w,mc,,,,,"B505","2d",,,,,,,,,
w,,RoomTempOffset,Raumaufschaltung,,,,,,,temp,,,,,,
# MK1: quick commands,,,,,,,,,,,,,,,,
*w,mc,,,,,"B505",,,,,,,,,,
w,,party,Quick - Party,,,,05,,,onoff,,,,,,
w,,load,Quick - WW Speicherladung,,,,06,,,onoff,,,,,,
w,,save,Quick - Sparen bis,,,,07,,,TTH,,,,,,
