# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment,,,
#,EHP00,AMU Wärmepumpe,EHP00 172 Mixer,,,,,,,,,,,,,
*r,mc,,,,,"B509","0D",,,,,,,,,
*u,mc,,,,,"B509","29",,,IGN:2,,,,,,
[SW>=350]r,,Tot24hHc2,Tot_24h_HK2,,,,"8801",,,temp,,,24 Stunden Außentemperaturmittelwert. Heizkreisspezifischer Wert,,,
[SW>=350]r;wi,,CoolingStartOffsetHc2,CoolingStartOffset_HK2,,,,"8701",,,temp1,,,Heizkreisspezifischer Offset auf die eingestellte AT-Abschaltgrenze zur Erzeugung einer Kühlanforderung. HK2 Wert.,,,
[SW>=350]r,,TotAverageTimeHc2,Tot_AverageTime_HK2,,,,"8901",,,hours,,,Heizkreisspezifischer (HK2) Außentemperatur Mittelungszeitraum,,,
[SW>=350]r;wi,,DWMOffToHeatingDelayHc2,DWMOffToHeatingDelay_HK2,,,,"8401",,,hours,,,Heizkreisspezifische Sperrzeit für den Wechsel von Bereitschaft zur Heizanforderung nach vorherigem Kühlbetrieb. HK2 Wert.,,,
[SW>=350]r;wi,,DWMOffToCoolingDelayHc2,DWMOffToCoolingDelay_HK2,,,,"8501",,,hours,,,Heizkreisspezifische Sperrzeit für den Wechsel von Bereitschaft zur Kühlanforderung nach vorherigem Heizbetrieb. HK2 Wert.,,,
[SW>=350]r;wi,,EfficiencyHysteresisHc2Min,MinEfficiencyHysteresis_HK2,,,,"8B01",,,calibration1,,,"Wenn ein Fernbediengerät angeschlossen ist, gibt dieser Wert die minimal zulässige Differenz zwischen Sammelvorlauftemperatur (VF2) und Raumtemperatur.",,,
[SW>=350]r;wi,,CoolingWhileHolidaySupportedHc2,CoolingWhileHolidaySupported_HK2,,,,"9501",,,yesno,,,Gibt an ob der Kühlbetrieb innerhalb eines Ferienzeitraumes fortgesetzt werden soll (kann für Quellenregeneration genutzt werden).,,,
[SW>=350]r,,CoolingCircuitStatesHc2,CoolingCircuitStates_HK2,,,,"9701",,,UIN,,,Enthält Statusbits für verschiedene Zustände der Kühlfunktionen. Hilfreich bei Fehleranalyse oder Tests.,,,
[SW>=350]r,,DesiredWorkingModeHc2,DesiredWorkingMode_HK2,,,,"7E01",,,UCH,,,"f. Autocool : HeatingAutomatic, OffAutomatic, CoolingAutomatic; SM1",,,
[SW>=350]r,,LastDesiredWorkingModeHc2,LastDesiredWorkingMode_HK2,,,,"8001",,,UCH,,,"f. Autocool : Standby, Heating or Cooling",,,
[SW>=350]r,,CoolingRequestHc2,CoolingRequest_HK2,,,,"8301",,,yesno,,,"Heizkreisspezifische Kühlanforderung abhängig von der Kühlungsbetriebsart, Zeitfenstern und Effizienzfunktionen",,,
[SW>=350]r,,CoolingEfficiencyStateHc2,CoolingEfficiencyState_HK2,,,,"8A01",,,UCH,,,SM2,,,
[SW>=350]r,,CoolingModeStateCounterHc2,CoolingModeStateCounter_HK2,,,,"8D01",,,UCH,,,Counts up if pump is runnig in cooling mode,,,
[SW>=350]r,,HcManualWorkingModeTriggeringActiveHc2,HCManualWorkingModeTriggeringActive_HK2,,,,"8F01",,,UCH,,,f. Autocool :Automatic or Manual,,,
[SW>=350]r,,AutocoolTestModeActiveHc2,AutocoolTestModeActive_HK2,,,,"8201",,,onoff,,,"Testbetrieb, nur für die Entwicklung!",,,
# ***** Nur für Hocheffizenzpumpen *****,,,,,,,,,,,,,,,,
[SW>=407]r,,HcPumpStatus,CHPumpStatus,,,,"B901",,,UCH,,,0=HEP_ok: 1= HEP_error; >=2=noHEP,,,
[SW>=407]r,,HcPumpPWM,CHPumpPWM,,,,"BA01",,,percent0,,,actual speed of central heating CH pump (7%=off),,,
[SW>=407]r;wi,,Hc1PumpSpeedControlHeatBuffer,CH1P_PumpSpeedControlHeatBuffer,,,,"BF01",,,percent0,,,CH pump speed setpoint while buffer is loaded [%],,,
[SW>=407]r;wi,,Hc1PumpSpeedControlDirectCircuit,CH1P_PumpSpeedControlDirectCircuit,,,,"C001",,,percent0,,,CH pump speed setpoint while energybalancing and compressor=on [%],,,
[SW>=414]r;wi,,Hc1PumpSpeedControlDirectCircuitWhileO,CH1P_PumpSpeedControlDirectCircuitWhileOff,,,,"E101",,,percent0,,,CH pump speed setpoint while energybalancing and compressor=off,,,
# MK: Betriebsart,,,,,,,,,,,,,,,,
*r,mc,,,,,"B504",,,,,,,,,,
r,,Mode,Betriebsart,,,,01,,,temp0;mcmode;IGN:2;HEX;IGN;onoff;IGN,,,,,,
r,,DateTime,Datum Uhrzeit,,,,00,,,dcfstate;btime;bdate;temp2,,,,,,
r,,Status,Status,,,,0D,,,temp0;onoff;temp;temp0,,,,,,
r,,Status16,Aussentemperatur,,,,16,,,temp,,,,,,
# MK: Zeitfenster,,,,,,,,,,,,,,,,
*r,mc,,,,,"B504",,,,,,,,,,
*w,mc,,,,,"B505","09",,,,,,,,,
r,,Timer.Monday,Zeitfenster Montag,,,,02,,,timer,,,,,,
r,,Timer.Tuesday,Zeitfenster Dienstag,,,,03,,,timer,,,,,,
r,,Timer.Wednesday,Zeitfenster Mittwoch,,,,04,,,timer,,,,,,
r,,Timer.Thursday,Zeitfenster Donnerstag,,,,05,,,timer,,,,,,
r,,Timer.Friday,Zeitfenster Freitag,,,,06,,,timer,,,,,,
r,,Timer.Saturday,Zeitfenster Samstag,,,,07,,,timer,,,,,,
r,,Timer.Sunday,Zeitfenster Sonntag,,,,08,,,timer,,,,,,
w,,Timer.Monday,Zeitfenster Montag,,,,01,,,timer,,,,,,
w,,Timer.Tuesday,Zeitfenster Dienstag,,,,02,,,timer,,,,,,
w,,Timer.Wednesday,Zeitfenster Mittwoch,,,,03,,,timer,,,,,,
w,,Timer.Thursday,Zeitfenster Donnerstag,,,,04,,,timer,,,,,,
w,,Timer.Friday,Zeitfenster Freitag,,,,05,,,timer,,,,,,
w,,Timer.Saturday,Zeitfenster Samstag,,,,06,,,timer,,,,,,
w,,Timer.Sunday,Zeitfenster Sonntag,,,,07,,,timer,,,,,,
# Aktuelle(r) Fehler,,,,,,,,,,,,,,,,
*r,mc,,,,,"B503","00",,,,,,,,,
r,,currenterror,Aktuelle Fehler,,,,01,,,errors,,,,,,
# Fehlerhistorie,,,,,,,,,,,,,,,,
*r,mc,,,,,"B503","01",,,,,,,,,
*wi,mc#install,,,,,"B503","02",,,,,,,,,
r,,errorhistory,Fehlerhistorie,,,,01,index,m,UCH,,,,,,errorhistory
wi,,clearerrorhistory,Fehlerhistorie: löschen,,,,01,cleared,s,yesno,,,,,,
# MK: Raumaufschaltung,,,,,,,,,,,,,,,,
*w,mc,,,,,"B505","2d",,,,,,,,,
w,,RoomTempOffset,Raumaufschaltung,,,,,,,temp,,,,,,
# MK: quick commands,,,,,,,,,,,,,,,,
*w,mc,,,,,"B505",,,,,,,,,,
w,,party,Quick - Party,,,,05,,,onoff,,,,,,
w,,load,Quick - WW Speicherladung,,,,06,,,onoff,,,,,,
w,,save,Quick - Sparen bis,,,,07,,,TTH,,,,,,
