# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment
#,UIH00,CI,UIH00 169,,,,,,,,,,
*r,,,,,,"B509","0D",,,,,,
*w,,,,,,"B509","0E",,,,,,
*wi,#install,,,,,"B509","0E",,,,,,
[SW=202-349]r,,LastYearsYieldEnergyMonth4,LastYearsEarnedEnergy month 4,,,,"8518",,,energy,,,last year: earnd energy of month 4
[SW=202-349]r,,LastYearsYieldEnergyMonth5,LastYearsEarnedEnergy month 5,,,,"8520",,,energy,,,last year: earnd energy of month 5
[SW=202-349]r,,LastYearsYieldEnergyMonth6,LastYearsEarnedEnergy month 6,,,,"8528",,,energy,,,last year: earnd energy of month 6
[SW=202-349]r,,LastYearsYieldEnergyMonth7,LastYearsEarnedEnergy month 7,,,,"8530",,,energy,,,last year: earnd energy of month 7
[SW=202-349]r,,LastYearsYieldEnergyMonth8,LastYearsEarnedEnergy month 8,,,,"8538",,,energy,,,last year: earnd energy of month 8
[SW=202-349]r,,LastYearsYieldEnergyMonth9,LastYearsEarnedEnergy month 9,,,,"8540",,,energy,,,last year: earnd energy of month 9
[SW=202-349]r,,LastYearsYieldEnergyMonth10,LastYearsEarnedEnergy month 10,,,,"8548",,,energy,,,last year: earnd energy of month 10
[SW=202-349]r,,LastYearsYieldEnergyMonth11,LastYearsEarnedEnergy month 11,,,,"8550",,,energy,,,last year: earnd energy of month 11
[SW=202-349]r,,LastYearsYieldEnergyMonth12,LastYearsEarnedEnergy month 12,,,,"8558",,,energy,,,last year: earnd energy of month 12
[SW=350-363]r,,ThisYearsYieldEnergyMonth1,Ertrag Januar dieses Jahres,,,,"8400",,,UCH;UCH,,,Ertrag Januar dieses Jahres
[SW=350-363]r,,ThisYearsYieldEnergyMonth2,Ertrag Februar dieses Jahres,,,,"8408",,,UCH;UCH,,,Ertrag Februar dieses Jahres
[SW=350-363]r,,ThisYearsYieldEnergyMonth3,Ertrag März dieses Jahres,,,,"8410",,,UCH;UCH,,,Ertrag März dieses Jahres
[SW=350-363]r,,ThisYearsYieldEnergyMonth4,Ertrag April dieses Jahres,,,,"8418",,,UCH;UCH,,,Ertrag April dieses Jahres
[SW=350-363]r,,ThisYearsYieldEnergyMonth5,Ertrag Mai dieses Jahres,,,,"8420",,,UCH;UCH,,,Ertrag Mai dieses Jahres
[SW=350-363]r,,ThisYearsYieldEnergyMonth6,Ertrag Juni dieses Jahres,,,,"8428",,,UCH;UCH,,,Ertrag Juni dieses Jahres
[SW=350-363]r,,ThisYearsYieldEnergyMonth7,Ertrag Juli dieses Jahres,,,,"8430",,,UCH;UCH,,,Ertrag Juli dieses Jahres
[SW=350-363]r,,ThisYearsYieldEnergyMonth8,Ertrag August dieses Jahres,,,,"8438",,,UCH;UCH,,,Ertrag August dieses Jahres
[SW=350-363]r,,ThisYearsYieldEnergyMonth9,Ertrag September dieses Jahres,,,,"8440",,,UCH;UCH,,,Ertrag September dieses Jahres
[SW=350-363]r,,ThisYearsYieldEnergyMonth10,Ertrag Oktober dieses Jahres,,,,"8448",,,UCH;UCH,,,Ertrag Oktober dieses Jahres
[SW=350-363]r,,ThisYearsYieldEnergyMonth11,Ertrag November dieses Jahres,,,,"8450",,,UCH;UCH,,,Ertrag November dieses Jahres
[SW=350-363]r,,ThisYearsYieldEnergyMonth12,Ertrag Dezember dieses Jahres,,,,"8458",,,UCH;UCH,,,Ertrag Dezember dieses Jahres
[SW=350-363]r,,LastYearsYieldEnergyMonth1,LastYearsEarnedEnergy month 1,,,,"8500",,,UCH;UCH,,,last year: earnd energy of month 1
[SW=350-363]r,,LastYearsYieldEnergyMonth2,LastYearsEarnedEnergy month 2,,,,"8508",,,UCH;UCH,,,last year: earnd energy of month 2
[SW=350-363]r,,LastYearsYieldEnergyMonth3,LastYearsEarnedEnergy month 3,,,,"8510",,,UCH;UCH,,,last year: earnd energy of month 3
[SW=350-363]r,,LastYearsYieldEnergyMonth4,LastYearsEarnedEnergy month 4,,,,"8518",,,UCH;UCH,,,last year: earnd energy of month 4
[SW=350-363]r,,LastYearsYieldEnergyMonth5,LastYearsEarnedEnergy month 5,,,,"8520",,,UCH;UCH,,,last year: earnd energy of month 5
[SW=350-363]r,,LastYearsYieldEnergyMonth6,LastYearsEarnedEnergy month 6,,,,"8528",,,UCH;UCH,,,last year: earnd energy of month 6
[SW=350-363]r,,LastYearsYieldEnergyMonth7,LastYearsEarnedEnergy month 7,,,,"8530",,,UCH;UCH,,,last year: earnd energy of month 7
[SW=350-363]r,,LastYearsYieldEnergyMonth8,LastYearsEarnedEnergy month 8,,,,"8538",,,UCH;UCH,,,last year: earnd energy of month 8
[SW=350-363]r,,LastYearsYieldEnergyMonth9,LastYearsEarnedEnergy month 9,,,,"8540",,,UCH;UCH,,,last year: earnd energy of month 9
[SW=350-363]r,,LastYearsYieldEnergyMonth10,LastYearsEarnedEnergy month 10,,,,"8548",,,UCH;UCH,,,last year: earnd energy of month 10
[SW=350-363]r,,LastYearsYieldEnergyMonth11,LastYearsEarnedEnergy month 11,,,,"8550",,,UCH;UCH,,,last year: earnd energy of month 11
[SW=350-363]r,,LastYearsYieldEnergyMonth12,LastYearsEarnedEnergy month 12,,,,"8558",,,UCH;UCH,,,last year: earnd energy of month 12
[SW>=364]r,,ThisYearsYieldEnergyMonth1,Ertrag Januar dieses Jahres,,,,"8400",,,energy,,,Ertrag Januar dieses Jahres
[SW>=364]r,,ThisYearsYieldEnergyMonth2,Ertrag Februar dieses Jahres,,,,"8408",,,energy,,,Ertrag Februar dieses Jahres
[SW>=364]r,,ThisYearsYieldEnergyMonth3,Ertrag März dieses Jahres,,,,"8410",,,energy,,,Ertrag März dieses Jahres
[SW>=364]r,,ThisYearsYieldEnergyMonth4,Ertrag April dieses Jahres,,,,"8418",,,energy,,,Ertrag April dieses Jahres
[SW>=364]r,,ThisYearsYieldEnergyMonth5,Ertrag Mai dieses Jahres,,,,"8420",,,energy,,,Ertrag Mai dieses Jahres
[SW>=364]r,,ThisYearsYieldEnergyMonth6,Ertrag Juni dieses Jahres,,,,"8428",,,energy,,,Ertrag Juni dieses Jahres
[SW>=364]r,,ThisYearsYieldEnergyMonth7,Ertrag Juli dieses Jahres,,,,"8430",,,energy,,,Ertrag Juli dieses Jahres
[SW>=364]r,,ThisYearsYieldEnergyMonth8,Ertrag August dieses Jahres,,,,"8438",,,energy,,,Ertrag August dieses Jahres
[SW>=364]r,,ThisYearsYieldEnergyMonth9,Ertrag September dieses Jahres,,,,"8440",,,energy,,,Ertrag September dieses Jahres
[SW>=364]r,,ThisYearsYieldEnergyMonth10,Ertrag Oktober dieses Jahres,,,,"8448",,,energy,,,Ertrag Oktober dieses Jahres
[SW>=364]r,,ThisYearsYieldEnergyMonth11,Ertrag November dieses Jahres,,,,"8450",,,energy,,,Ertrag November dieses Jahres
[SW>=364]r,,ThisYearsYieldEnergyMonth12,Ertrag Dezember dieses Jahres,,,,"8458",,,energy,,,Ertrag Dezember dieses Jahres
[SW>=364]r,,LastYearsYieldEnergyMonth1,LastYearsEarnedEnergy month 1,,,,"8500",,,energy,,,last year: earnd energy of month 1
[SW>=364]r,,LastYearsYieldEnergyMonth2,LastYearsEarnedEnergy month 2,,,,"8508",,,energy,,,last year: earnd energy of month 2
[SW>=364]r,,LastYearsYieldEnergyMonth3,LastYearsEarnedEnergy month 3,,,,"8510",,,energy,,,last year: earnd energy of month 3
[SW>=364]r,,LastYearsYieldEnergyMonth4,LastYearsEarnedEnergy month 4,,,,"8518",,,energy,,,last year: earnd energy of month 4
[SW>=364]r,,LastYearsYieldEnergyMonth5,LastYearsEarnedEnergy month 5,,,,"8520",,,energy,,,last year: earnd energy of month 5
[SW>=364]r,,LastYearsYieldEnergyMonth6,LastYearsEarnedEnergy month 6,,,,"8528",,,energy,,,last year: earnd energy of month 6
[SW>=364]r,,LastYearsYieldEnergyMonth7,LastYearsEarnedEnergy month 7,,,,"8530",,,energy,,,last year: earnd energy of month 7
[SW>=364]r,,LastYearsYieldEnergyMonth8,LastYearsEarnedEnergy month 8,,,,"8538",,,energy,,,last year: earnd energy of month 8
[SW>=364]r,,LastYearsYieldEnergyMonth9,LastYearsEarnedEnergy month 9,,,,"8540",,,energy,,,last year: earnd energy of month 9
[SW>=364]r,,LastYearsYieldEnergyMonth10,LastYearsEarnedEnergy month 10,,,,"8548",,,energy,,,last year: earnd energy of month 10
[SW>=364]r,,LastYearsYieldEnergyMonth11,LastYearsEarnedEnergy month 11,,,,"8550",,,energy,,,last year: earnd energy of month 11
[SW>=364]r,,LastYearsYieldEnergyMonth12,LastYearsEarnedEnergy month 12,,,,"8558",,,energy,,,last year: earnd energy of month 12
[SW>=202]r,,YieldEnergySum,Earned energy UI display value,,,,"8700",,,ULG,,,
# ##### Parameter und Informationen #####,,,,,,,,,,,,,
r,,OutsideTemp,Aussentemperatur,,,,"0100",,,tempsensor,,,Außentemperatur
r;ws,,EhpHydraulicMap,Hydraulikschema (EHP),,,,"2900",,,UCH,,,Hydraulikschema
r,,EhpBasicStatus,Status,,,,"5000",,,UCH,,,AMU Status
r,,StateEM,Status Energiemanger,,,,"4B00",,,UCH,,,"Status des Energie-Manager:0: Aus,1: WW Anforderungt,2: WW Betrieb3 WW Nachlauf4: Heizbetrieb5: Überdruck im WW Betrieb6: Überdruck im Heizbetrieb7: Wartezustand Überdruck8: Wartezustand Heizung9: Wartezustand WW"
r;w,,LanguageVariant,Sprachvariante,,,,"2600",,,UCH,,,Sprache
r;w,,HolidayPeriods,Ferienzeitraum,,,,"4300",,,hfrom;hto;hfrom;hto,,,Ferienzeitraum
r;w,,RoomTempHoliday,Raumsollwert im Ferienbetrieb,,,,"2200",,,temp,,,Raumsolltemperatur für den Ferienbetrieb
r;wi,,KeyCodeforConfigMenu,Passwort für das Konfigurationsmenü,,,,"2C00",,,HEX:4,,,Code für die Konfigurationsmenüs
r,,FlowTempDesired,Vorlauftemp. SOLL,,,,"0500",,,temp,,,
r,,FlowTemp,Vorlauftemp. IST,,,,"0200",,,tempsensor,,,Anlagenvorlauftemperatur
r;wi,,HcSupportTimeMax,Max. Heizzeit,,,,"4D00",,,minutes0,,,Max.Heizbetriebszeit bei parallel anstehender WW Anforderung
r;wi,,HwcLoadingTimeMax,Max. Ladezeit WW,,,,"4C00",,,minutes0,,,Max. WW Ladezeit bei parallel anstehender Heizungsanforderung
r;wi,,TempIncrease,Temperaturüberhöhung,,,,"2F00",,,temp,,,Temperaturüberhöhung
r;wi,,PreShutDownTime,Vorabschaltzeit,,,,"2D00",,,minutes0,,,Vorabschaltzeit
r;wi,,FrostOverRideTime,Frostschutz-Verzögerung,,,,"2E00",,,hours,,,Frostschutzverzögerung
r,,EhpBackupRelease,Freigabe Zusatzheizer,,,,"7100",,,onoff,,,Freigabe Reserveheizung
r,,EhpTimeOfPredictedPowerCut,Erwarteter EVU Abschaltzeitpunkt,,,,"7300",,,time,,,Zeit bis zur nächsten Abschaltung durch das EVU
r;wi,,TempFailDetectTime,Temperaturfehlererkennung nach,,,,"3300",,,temp0,,,Zeit für die Temperaturfehlererkennung
r;wi,,EhpHeatBufferAvailable,EhpHeatBufferAvailable,,,,"5C00",,,onoff,,,Pufferspeicher vorhanden
[SW<=345]r,,ChildProtection,Kindersicherung,,,,"6E00",,,yesno,,,Kindersicherung
[SW>=220]r,,CoolingDay,CoolingDay,,,,"7C00",,,UCH,,,
[SW>=220]r,,CoolingActive,Kühlung aktiv,,,,"8300",,,onoff,,,
[SW>=202]r;wi,,YieldEnergyOld,Mitternacht Übertragswert Energieertrag,,,,"8600",,,ULG,,,Beinhaltet den Gesamtenergieertrag zur letzten Mitternacht. Wird für die monatliche Balkendarstellung und dessen Übertragung auf Austauschplatinen benötigt.
[SW>=250]r,,DiagnoseMode,DiagnoseMode,,,,"8F00",,,UCH,,,"_DiaMode_Not=0, _DiaMode_Off, _DiaMode_CH, _DiaMode_DhwLoading, _DiaMode_Cooling, _DiaMode_Deicing"
[SW>=250]r,,EmStateWorkingMode,Energiemanager Betriebsweise,,,,"9000",,,UCH,,,0 = Bereitschaft1 = Heizen2 = Kühlen
[SW>=250]r,,EmStateCooling,Energiemanager Kühlzustand,,,,"9100",,,UCH,,,0=off1=DhwReq2=Dhw3=TankPOverrun4=Heating5=OverpresFDhw6=OverpresFCh7=WaitChDemOverp8=WaitChDemCH9=WaitChDemEndDhw10=CoolingHSOff11=CoolingHSOn12=DhwWhileCool13=CoolingDhw14=StandbyHSOff15=DhwWhileStandby
[SW>=250]r,,EmStateStandby,Energiemanager Bereitschaftszustand,,,,"9200",,,UCH,,,0=off1=DhwReq2=Dhw3=TankPOverrun4=Heating5=OverpresFDhw6=OverpresFCh7=WaitChDemOverp8=WaitChDemCH9=WaitChDemEndDhw10=CoolingHSOff11=CoolingHSOn12=DhwWhileCool13=CoolingDhw14=StandbyHSOff15=DhwWhileStandby
[SW>=250]r,,EmStateHc,Energiemanager Heizzustand,,,,"9300",,,UCH,,,0=off1=DhwReq2=Dhw3=TankPOverrun4=Heating5=OverpresFDhw6=OverpresFCh7=WaitChDemOverp8=WaitChDemCH9=WaitChDemEndDhw10=CoolingHSOff11=CoolingHSOn12=DhwWhileCool13=CoolingDhw14=StandbyHSOff15=DhwWhileStandby
[SW>=250]r,,HwcDemand,Warmwasseranforderung,,,,"9400",,,onoff,,,
[SW>=250]r,,HcDemand,Heizanforderung,,,,"9500",,,onoff,,,
[SW>=250]r,,CoolingDemand,Kühlanforderung,,,,"9600",,,onoff,,,
[SW>=250]r,,EmSystemMode,EmSystemMode,,,,"9700",,,UCH,,,"System Betriebsweise, Werte:0 = Aus1 = Heizen2 = Kühlen3 = Warmwasser4 = Warmwasser während Heizbetrieb5 = Warmwasser während Kühlbetrieb"
[SW>=250]r,,ParallelCoolingHwcPossible,Paralleler WW- Kühlbetrieb,,,,"9800",,,onoff,,,
[SW>=250]r,,DesiredWorkingMode,Gewünschte Betriebsweise (HK),,,,"9A00",,,UCH,,,0 = Bereitschaft1 = Heizen2 = Kühlen
[SW>=250]r,,SysWithCoolingSupport,Kühlsystem erkannt,,,,"9B00",,,onoff,,,
[SW>=362]r,,reserve1,reserve 1,,,,"9D00",,,UCH,,,for future use
# ##### HK Namen und Tel. Nummer #####,,,,,,,,,,,,,
r;w,,HcName2,Name HK2,,,,"4108",,,STR:11,,,Name für HK2
r;w,,HcName4,Name HK4,,,,"4118",,,STR:11,,,Name für HK4
r;w,,HcName5,Name HK5,,,,"4120",,,STR:11,,,Name für HK5
r;w,,HcName6,Name HK6,,,,"4128",,,STR:11,,,Name für HK6
r;w,,HcName7,Name HK7,,,,"4130",,,STR:11,,,Name für HK7
r;w,,HcName8,Name HK8,,,,"4138",,,STR:11,,,Name für HK8
r;w,,HcName9,Name HK9,,,,"4140",,,STR:11,,,Name für HK9
r;w,,HcName10,Name HK10,,,,"4148",,,STR:11,,,Name für HK10
r;w,,HcName11,Name HK11,,,,"4150",,,STR:11,,,Name für HK11
r;w,,HcName12,Name HK12,,,,"4158",,,STR:11,,,Name für HK12
r;w,,HcName13,Name HK13,,,,"4160",,,STR:11,,,Name für HK13
r;w,,HcName14,Name HK14,,,,"4168",,,STR:11,,,Name für HK14
r;w,,HcName15,Name HK15,,,,"4170",,,STR:11,,,Name für HK15
r;w,,HcName16,Name HK16,,,,"4178",,,STR:11,,,Name für HK16
r;wi,,PhoneNumberPart1,Telefonnummer Teil 1,,,,"4200",,,STR:9,,,Erster Teil der Telefonnummer für den Servicefall
r;wi,,PhoneNumberPart2,Telefonnummer Teil 2,,,,"4208",,,STR:9,,,Zweiter Teil der Telefonnummer für den Servicefall
