# type (r[1-9];w;u),circuit,name,[comment],[QQ],ZZ,PBSB,[ID],field1,part (m/s),datatypes/templates,divider/values,unit,comment,field2,part (m/s),datatypes/templates,divider/values,unit,comment,field3,part (m/s),datatypes/templates,divider/values,unit,comment,field4,part (m/s),datatypes/templates,divider/values,unit,comment
*r,,,,,,"B511",,,,,,,,,,,,,,,,,,,,,,,,,
r,,State,,,,,07,energy,,UCH,,,,,,energy,,,,,,onoff,,,,state,,UCH,0x01=ready;0x0b=error;0x09=heating;0x11=cooling;0x81=heating_water,,
# Ecologic energy Yields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*r,,,,,,"B516","1A01",,,IGN:1,,,,,,,,,,,,,,,,,,,,,
r,,YieldThisYear1,,,,,0100,month,,D1B,,,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,YieldThisYear2,,,,,0200,month,,D1B,,,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,YieldThisYear3,,,,,0300,month,,D1B,,,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,YieldThisYear4,,,,,0400,month,,D1B,,,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,YieldThisYear5,,,,,0500,month,,D1B,,,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,YieldThisYear6,,,,,0600,month,,D1B,,,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,YieldThisYear7,,,,,0700,month,,D1B,,,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,YieldThisYear8,,,,,0800,month,,D1B,,,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,YieldThisYear9,,,,,0900,month,,D1B,,,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,YieldThisYear10,,,,,0A00,month,,D1B,,,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,YieldThisYear11,,,,,0B00,month,,D1B,,,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,YieldThisYear12,,,,,0C00,month,,D1B,,,,,,IGN:1,,,,,,energy,,,,,,,,,
# Electric power consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*r,,,,,,"B516","1A02",,,IGN:1,,,,,,,,,,,,,,,,,,,,,
r,,ConsumptionThisYear1,,,,,0100,month,,D1B,,,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,ConsumptionThisYear2,,,,,0200,month,,D1B,,,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,ConsumptionThisYear3,,,,,0300,month,,D1B,,,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,ConsumptionThisYear4,,,,,0400,month,,D1B,,,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,ConsumptionThisYear5,,,,,0500,month,,D1B,,,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,ConsumptionThisYear6,,,,,0600,month,,D1B,,,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,ConsumptionThisYear7,,,,,0700,month,,D1B,,,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,ConsumptionThisYear8,,,,,0800,month,,D1B,,,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,ConsumptionThisYear9,,,,,0900,month,,D1B,,,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,ConsumptionThisYear10,,,,,0A00,month,,D1B,,,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,ConsumptionThisYear11,,,,,0B00,month,,D1B,,,,,,IGN:1,,,,,,energy,,,,,,,,,
r,,ConsumptionThisYear12,,,,,0C00,month,,D1B,,,,,,IGN:1,,,,,,energy,,,,,,,,,
# additions from PR 160 for HMU;0304;8802;0010019765
# Test menus on VWZ. EnableTest message needs to be sent before each of the read messages work.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*rs,#service,,,,,"B514",05,,,IGN:2,,,,,,,,,,,,,,,,,,,,,
*ws,#service,,,,,"B514",05,ignore,,HEX:3,="03FFFF",,,,,,,,,,,,,,,,,,,,
ws,,EnableTestEEVPosition,Read T.008,,,,15
rs,,TestEEVPosition,T.008 value,,,,15,,,UIN,,,
ws,,EnableTestCompressorExitTemp,Read T.026,,,,37
rs,,TestCompressorExitTemp,T.026 value,,,,37,,,SIN,10,°C,,
ws,,EnableTestCompressorIntakeTemp,Read T.027,,,,38
rs,,TestCompressorIntakeTemp,T.027 value,,,,38,,,SIN,10,°C,,
ws,,EnableTestWaterThroughput,Read T.016,,,,2B
rs,,TestWaterThroughput,current heating water flow rate,,,,2B,,,UIN,,l/h,
ws,,EnableTestCompressorSpeed,Read T.068,,,,5D
rs,,TestCompressorSpeed,T.068 value,,,,5D,,,UIN,10,,
# Values from Live Monitor. EnableLiveMonitor message needs to be sent before each of the read messages work.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*us,#service,,,,,B503,00,,,,,,,,,,,,,,,,,,,,,,,,
*ws,#service,,,,,B503,00,,,,,,,,,,,,,,,,,,,,,,,,
ws,,EnableiveMonitorMain,enable live monitor read status,,,,03,,,,,,,,,,,,,,,,,,,,,,,,,
# example: 244;Heating 3108b503020003 / 0af401ffffffffffffffff
us,,LiveMonitorMain,live monitor status,71,,,03,status,,UCH,0x39=Controller starting;0xf4=Standby;0xf5=Supply on;0xf6=Heating: Flow ok;0xf7=Heating: temperature self test;0xf8=Heating: Start;0xfa=Heating: Fan on;0xfc=EEV switch;0xfd=Compressor starting;0xfe=Heating: compressor on;0x00=Compressor off;0x02=Compressor coast down;0x03=Deicing start;0x04=Deicing;0x05=Deicing end;0x12=Cooling: Flow on;0x14=Cooling: temperature self test;0x15=Cooling: starting;0x17=Cooling: Fan on;0x13=Cooling: Flow ok;0x19=Cooling: EEV?;0x1a=Cooling: compressor starting;0x1b=Cooling: compressor on;0x1d=Cooling: ending;0x29=Start condition not met;0x57=Device error;0x44=Flow error in distribution system,,,function,,UCH,0x01=Heating;0x02=Cooling,,,,,,,,,,,,,,
*rs,#service,,,,,B51A,050032,,,IGN:3,,,,,,,,,,,,,,,,,,,,,
# example: 3108b51a040500321f / 0a000805f0000000000000
rs,,LiveMonitorDesiredSupplyTemp,desired supply temperature,,,,1f,,,temp,,,,,,,,,,,,,,,
# example: 3108b51a0405003220 / 0a0008081b010000000000
rs,,LiveMonitorCurrentSupplyTemp,current supply temperature,,,,20,,,temp,,,,,,,,,,,,,,,
# example:108b51a0405003223 / 0a00083500000000000000
rs,,LiveMonitorCurrentYieldPower,current power generated,,,,23,,,UIN,10,kW,,,,,,,,,,,,,
# example: 3108b51a0405003224 / 0a00083500000000000000
rs,,LiveMonitorCurrentConsumedPower,current power consumption,,,,24,,,UIN,10,kW,,,,,,,,,,,,,
#example:08b51a0405003225 / 0a00081b00000000000000
rs,,LiveMonitorCurrentCompressorUtil,compressor modulation,,,,25,,,D1B,,%,,,,,,,,,,,,,
# example: 3108b51a0405003226 / 0a000808df000000000000
rs,,LiveMonitorAirIntakeTemp,air intake temperature,,,,26,,,temp,,,,,,,,,,,,,,,
!include,hcmode.inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!include,errors.inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
